Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,26/09/15,Vicenza,Pescara,2,2,D,0,0,D,2.6,3,2.88,2.45,3,2.95,2.3,2.8,3.1,2.6,3,2.88,2.72,3.12,2.96,2.6,2.9,2.9,2.63,3.1,3,39,2.72,2.51,3.12,2.99,3.1,2.86,31,2.31,2.22,1.71,1.62,23,0,1.88,1.79,2.1,2.01
I2,27/09/15,Bari,Avellino,2,1,H,1,1,D,2.1,3.2,3.6,2.1,3.1,3.6,2.1,2.9,3.4,2.05,3.1,3.8,2.1,3.25,4.14,2,3.1,3.6,2.1,3.13,4.1,38,2.12,2.04,3.25,3.1,4.14,3.66,29,2.37,2.23,1.65,1.6,23,-0.5,2.13,2.05,1.83,1.77
I2,28/09/15,Novara,Como,0,2,A,0,0,D,1.91,3.3,4.2,1.9,3,4.5,2,2.9,3.7,1.85,3.2,4.5,1.93,3.31,4.9,1.85,3.1,4.4,1.9,3.2,5,37,2,1.87,3.31,3.15,5,4.32,28,2.46,2.36,1.6,1.55,22,-0.5,1.93,1.87,2.01,1.94
I2,02/10/15,Crotone,Salernitana,4,0,H,2,0,H,2.05,3.2,3.8,2.3,2.95,3.3,2.3,2.8,3.1,2.1,2.9,3.8,2.18,3.07,4.16,2.15,3.1,3.3,2.15,3.1,3.9,42,2.3,2.13,3.2,3,4.16,3.6,32,2.46,2.34,1.65,1.56,23,-0.5,2.23,2.11,1.8,1.74
I2,03/10/15,Avellino,Vicenza,1,4,A,1,3,A,2,3.1,4.2,2.05,2.95,3.9,2.2,2.8,3.3,2.05,3.1,3.8,2.1,3.18,4.27,2,3.1,3.75,2.05,3.1,4.2,42,2.2,2.03,3.2,3.07,4.27,3.75,31,2.45,2.34,1.62,1.55,23,-0.5,2.13,2.05,1.86,1.77
I2,03/10/15,Brescia,Modena,2,2,D,2,1,H,2.25,3.1,3.4,2.35,2.9,3.25,2.2,2.8,3.3,2.25,3.1,3.3,2.36,3.08,3.62,2.3,3,3.1,2.3,3,3.7,41,2.36,2.25,3.1,2.98,3.7,3.3,30,2.43,2.33,1.6,1.55,23,-0.25,1.99,1.93,1.96,1.89
I2,03/10/15,Cesena,Livorno,1,0,H,0,0,D,2.4,3.25,2.9,2.4,2.95,3.1,2.6,2.8,2.8,2.4,3,3,2.6,3.07,3.18,2.3,3.1,3,2.55,3,3.2,42,2.6,2.42,3.25,3.01,3.2,2.97,31,2.36,2.25,1.68,1.59,22,-0.25,2.19,2.1,1.8,1.74
I2,03/10/15,Como,Ascoli,0,4,A,0,2,A,2.1,3.3,3.5,2.15,2.95,3.6,2.1,2.9,3.4,2.15,3,3.6,2.24,3.16,3.81,2.05,3,3.6,2.2,3,3.9,41,2.24,2.15,3.3,3.05,3.9,3.45,32,2.45,2.33,1.6,1.56,22,-0.25,1.91,1.86,2.04,1.96
I2,03/10/15,Latina,Bari,1,2,A,1,0,H,2.5,2.9,3.1,2.5,2.9,3,2.5,2.8,2.9,2.5,3,2.9,2.64,3.03,3.15,2.5,2.9,2.9,2.6,3,3.13,41,2.64,2.48,3.15,2.94,3.15,2.93,31,2.45,2.33,1.62,1.55,23,0,1.8,1.75,2.17,2.06
I2,03/10/15,Pescara,Cagliari,1,0,H,0,0,D,3,3,2.5,3,2.95,2.45,3,2.8,2.4,2.88,3.2,2.4,3.09,3.19,2.58,2.8,3.1,2.4,3.1,3.2,2.5,41,3.15,2.94,3.25,3.06,2.58,2.4,36,2.05,1.94,1.94,1.83,22,0.25,1.8,1.75,2.19,2.09
